GTOD,GATG,GHTG,SESI,SEWN,GDAT,SEWT
1080,2,26,0,2,5,2
930,113,10,0,4,5,4
1080,69,14,0,4,5,4
1200,50,2,0,5,5,5
1200,41,14,0,5,5,5
1200,10,19,0,5,5,5
930,26,95,0,5,5,5
1200,10,69,0,6,5,6
1080,2,95,0,6,5,6
750,50,113,0,6,5,6
1080,19,41,0,6,5,6
1200,19,50,0,7,5,7
1080,26,10,0,7,5,7
750,14,2,0,7,5,7
1080,95,41,0,7,5,7
750,10,50,0,8,5,8
1080,41,2,0,8,5,8
1200,69,19,0,8,5,8
750,14,95,0,8,5,8
1200,113,26,0,8,5,8
750,26,69,0,9,5,9
1080,50,14,0,9,5,9
930,95,19,0,9,5,9
1080,41,113,0,9,5,9
1080,95,50,0,10,5,10
930,2,10,0,10,5,10
930,19,113,0,10,5,10
1200,14,26,0,10,5,10
1200,69,41,0,10,5,10
1080,26,50,0,11,5,11
750,113,2,0,11,5,11
1200,19,14,0,11,5,11
930,69,95,0,11,5,11
750,10,41,0,11,5,11
750,14,10,0,12,5,12
930,2,19,0,12,5,12
750,41,26,0,12,5,12
750,50,69,0,13,4,13
930,95,113,0,14,5,14
750,95,14,1,3,5,3
930,26,2,1,4,5,4
750,41,19,1,4,5,4
930,2,50,1,5,5,5
1080,69,113,1,5,5,5
1200,95,26,1,5,5,5
930,19,10,1,5,5,5
930,14,41,1,5,5,5
1200,113,50,1,6,5,6
1200,14,69,1,6,5,6
1200,95,2,1,6,5,6
1080,10,26,1,6,5,6
1080,50,19,1,7,5,7
750,69,26,1,7,5,7
1200,10,113,1,7,5,7
1080,41,95,1,7,5,7
750,2,14,1,7,5,7
1080,50,10,1,8,5,8
930,19,69,1,8,5,8
1200,26,113,1,8,5,8
930,2,41,1,8,5,8
930,14,50,1,9,5,9
750,69,10,1,9,5,9
750,113,41,1,9,5,9
1200,19,95,1,9,5,9
930,95,50,1,10,5,10
930,41,69,1,10,5,10
1200,113,19,1,10,5,10
750,10,2,1,10,5,10
750,26,14,1,10,5,10
930,50,26,1,11,5,11
1200,95,69,1,11,5,11
1200,2,113,1,11,5,11
930,14,19,1,11,5,11
750,41,10,1,11,5,11
930,113,95,1,12,5,12
1080,19,2,1,12,5,12
1080,10,14,1,12,5,12
750,26,41,1,12,5,12
930,69,50,1,13,4,13
750,50,95,2,4,5,4
1200,113,10,2,4,5,4
1200,26,19,2,4,5,4
930,14,41,2,4,5,4
1200,19,50,2,5,5,5
930,69,113,2,5,5,5
750,2,95,2,5,5,5
1080,41,10,2,5,5,5
1080,50,26,2,6,5,6
1080,69,14,2,6,5,6
1200,113,41,2,6,5,6
1200,10,2,2,6,5,6
1080,41,69,2,7,5,7
750,19,113,2,7,5,7
1080,95,14,2,7,5,7
1200,26,2,2,7,5,7
1200,2,50,2,8,5,8
1080,95,69,2,8,5,8
930,14,19,2,8,5,8
1080,10,26,2,8,5,8
1200,14,50,2,9,5,9
930,69,26,2,9,5,9
930,113,2,2,9,5,9
930,41,95,2,9,5,9
1200,19,10,2,9,5,9
1080,50,41,2,10,5,10
750,10,69,2,10,5,10
1200,26,113,2,10,5,10
750,95,19,2,10,5,10
930,2,14,2,10,5,10
1080,113,50,2,11,5,11
1200,69,2,2,11,5,11
1200,10,95,2,11,5,11
930,19,41,2,11,5,11
1200,26,14,2,11,5,11
1200,50,69,2,12,5,12
1080,95,113,2,12,5,12
1200,2,19,2,12,5,12
930,14,10,2,12,5,12
1080,41,26,2,12,5,12
750,50,14,3,5,5,5
1200,26,69,3,5,5,5
750,41,113,3,5,5,5
1200,10,19,3,5,5,5
750,95,50,3,6,5,6
930,69,10,3,6,5,6
1080,113,26,3,6,5,6
1080,14,2,3,6,5,6
1200,41,50,3,7,5,7
1080,10,113,3,7,5,7
1200,19,95,3,7,5,7
1200,2,26,3,7,5,7
930,50,19,3,8,5,8
930,14,69,3,8,5,8
750,2,113,3,8,5,8
750,95,41,3,8,5,8
930,26,10,3,8,5,8
930,50,2,3,9,5,9
1080,69,95,3,9,5,9
930,19,14,3,9,5,9
1080,10,41,3,9,5,9
750,113,69,3,10,5,10
930,95,2,3,10,5,10
750,19,26,3,10,5,10
1200,41,14,3,10,5,10
1200,26,50,3,11,5,11
930,69,41,3,11,5,11
930,113,19,3,11,5,11
1080,14,95,3,11,5,11
1080,2,10,3,11,5,11
750,50,113,3,12,5,12
930,2,69,3,12,5,12
1200,95,10,3,12,5,12
750,41,19,3,12,5,12
930,14,26,3,12,5,12
930,69,50,3,13,5,13
750,113,95,3,13,5,13
930,19,2,3,13,5,13
1080,10,14,3,13,5,13
750,26,41,3,13,5,13
930,41,50,4,5,5,5
1080,14,113,4,5,5,5
930,2,95,4,5,5,5
1200,19,26,4,5,5,5
1080,113,50,4,6,5,6
1080,69,14,4,6,5,6
1200,10,2,4,6,5,6
750,50,14,4,7,5,7
930,69,41,4,7,5,7
1080,113,69,0,5,5,5
1200,113,10,4,7,5,7
1080,95,19,4,7,5,7
1200,26,2,4,7,5,7
1080,19,50,4,8,5,8
1200,10,69,4,8,5,8
1080,26,95,4,8,5,8
1200,2,41,4,8,5,8
1080,69,19,4,9,5,9
930,41,113,4,9,5,9
