GTOD,GATG,GHTG,SESI,SEWN,GDAT,SEWT
750,87,74,1,2,5,2
1080,103,87,4,8,3,8
750,110,111,4,8,5,8
930,102,99,4,8,5,8
750,111,99,1,3,5,3
930,17,75,1,3,5,3
930,5,103,1,3,5,3
1080,110,87,1,3,5,3
1200,22,102,1,3,5,3
750,111,87,1,4,5,4
750,74,17,1,4,5,4
930,102,4,1,4,5,4
930,110,99,1,4,5,4
1200,75,22,1,4,5,4
930,5,99,1,5,5,5
750,4,103,1,5,5,5
750,74,111,1,5,5,5
930,87,102,1,5,5,5
1200,17,22,1,5,5,5
1080,22,4,1,6,3,6
750,111,75,1,6,5,6
930,99,74,1,6,5,6
1200,5,110,1,6,5,6
1080,4,5,1,7,3,7
750,17,111,1,7,5,7
750,110,74,1,7,5,7
930,22,87,1,7,5,7
1200,102,75,1,7,5,7
1200,103,99,1,7,5,7
1080,111,110,1,8,3,8
750,75,4,1,8,5,8
930,74,103,1,8,5,8
1080,99,102,1,8,5,8
1200,22,5,1,8,5,8
1080,75,87,1,9,3,9
750,4,111,1,9,5,9
750,110,102,1,9,5,9
930,99,22,1,9,5,9
1080,103,17,1,9,5,9
1200,5,74,1,9,5,9
750,87,5,1,10,5,10
750,4,17,1,10,5,10
930,75,110,1,10,5,10
1200,103,22,1,10,5,10
750,103,111,1,11,5,11
750,17,110,1,11,5,11
930,74,75,1,11,5,11
1200,102,5,1,11,5,11
1080,99,4,1,12,3,12
750,87,17,1,12,5,12
930,102,103,1,12,5,12
750,74,87,2,3,5,3
750,99,111,2,3,5,3
930,75,17,2,3,5,3
930,103,5,2,3,5,3
1080,102,22,2,3,5,3
750,87,111,2,4,5,4
750,17,74,2,4,5,4
930,4,102,2,4,5,4
1200,99,110,2,4,5,4
930,99,5,2,5,5,5
750,111,74,2,5,5,5
930,102,87,2,5,5,5
1080,22,17,2,5,5,5
1200,75,103,2,5,5,5
1080,75,111,2,6,3,6
750,4,22,2,6,5,6
930,17,5,2,6,5,6
750,87,110,2,6,5,6
1200,99,103,2,6,5,6
1080,111,17,2,7,3,7
750,22,75,2,7,5,7
750,5,4,2,7,5,7
930,74,110,2,7,5,7
1200,87,99,2,7,5,7
1080,4,75,2,8,3,8
750,110,111,2,8,5,8
930,103,74,2,8,5,8
