GTOD,GATG,GHTG,SESI,SEWN,GDAT,SEWT
750,98,15,1,3,5,3
930,25,188,1,3,5,3
1200,230,15,1,4,5,4
750,46,25,1,4,5,4
1080,211,66,1,4,4,4
1080,188,229,1,4,5,4
750,229,25,1,5,5,5
1200,230,98,1,5,5,5
1080,66,46,1,5,5,5
930,211,188,1,5,5,5
1080,25,230,1,6,5,6
1200,15,66,1,6,5,6
750,211,229,1,6,5,6
930,98,46,1,6,5,6
1080,15,188,1,7,4,7
1080,230,211,1,7,5,7
1200,66,98,1,7,5,7
930,46,229,1,7,5,7
1200,25,15,1,8,5,8
930,229,230,1,8,5,8
1080,46,188,1,8,5,8
930,15,46,1,9,5,9
1080,66,25,1,9,5,9
1200,188,230,1,9,5,9
1200,98,211,1,9,5,9
1080,211,25,1,10,3,10
1200,230,46,1,10,5,10
1080,188,66,1,10,5,10
930,98,229,1,10,5,10
1200,229,15,1,11,5,11
930,25,98,1,11,5,11
750,66,230,1,11,5,11
1080,46,211,1,11,5,11
1200,229,66,1,12,5,12
930,188,98,1,12,5,12
930,15,211,1,12,5,12
1080,15,98,0,3,5,3
930,188,25,0,3,5,3
1200,15,230,0,4,5,4
750,25,46,0,4,5,4
1080,66,211,0,4,5,4
1080,229,188,0,4,4,4
750,25,229,0,5,5,5
1200,98,230,0,5,5,5
1080,46,66,0,5,5,5
930,188,211,0,5,5,5
1200,230,25,0,6,5,6
1080,66,15,0,6,5,6
750,229,211,0,6,5,6
930,46,98,0,6,5,6
1080,188,15,0,7,5,7
1080,211,230,0,7,4,7
1200,98,66,0,7,5,7
930,229,46,0,7,5,7
1200,15,25,0,8,5,8
930,230,229,0,8,5,8
1080,188,46,0,8,5,8
930,46,15,0,9,5,9
1080,25,66,0,9,5,9
1200,230,188,0,9,5,9
1080,211,98,0,9,5,9
1080,25,211,0,10,5,10
1200,46,230,0,10,5,10
1080,66,188,0,10,3,10
930,229,98,0,10,5,10
1200,15,229,0,11,5,11
930,98,25,0,11,5,11
750,230,66,0,11,5,11
1080,211,46,0,11,5,11
1200,66,229,0,12,5,12
1080,98,188,0,12,5,12
930,211,15,0,12,5,12
