GTOD,GATG,GHTG,SESI,SEWN,GDAT,SEWT
750,106,6,0,2,5,2
1200,84,30,0,2,5,2
1080,55,9,0,2,5,2
1200,91,27,0,3,5,3
1080,73,106,0,3,5,3
1080,6,3,0,4,5,4
750,27,42,0,4,5,4
750,30,55,0,4,5,4
1200,91,45,0,4,5,4
930,73,91,0,5,5,5
1200,27,3,0,5,5,5
1080,84,9,0,5,5,5
1080,45,55,0,5,5,5
1080,55,27,0,6,5,6
930,30,91,0,6,5,6
750,42,84,0,6,5,6
1080,45,106,0,6,5,6
1200,3,73,0,7,5,7
930,9,6,0,7,5,7
930,27,45,0,7,5,7
1200,30,106,0,7,5,7
1080,91,3,0,8,5,8
750,9,45,0,8,5,8
930,6,30,0,8,5,8
1200,42,73,0,8,5,8
750,106,84,0,8,5,8
930,73,9,0,9,5,9
750,30,27,0,9,5,9
750,55,42,0,9,5,9
750,84,91,0,9,5,9
930,3,55,0,10,5,10
750,84,6,0,10,5,10
930,9,42,0,10,5,10
750,106,27,0,10,5,10
1080,45,3,0,11,5,11
1200,6,73,0,11,5,11
930,9,30,0,11,5,11
930,27,84,0,11,5,11
1200,42,106,0,11,5,11
930,55,6,0,12,5,12
1200,3,9,0,12,5,12
1200,42,30,0,12,5,12
1080,45,73,0,12,5,12
1080,106,91,0,12,5,12
750,6,45,0,13,5,13
1200,91,42,0,13,5,13
1080,73,55,0,13,5,13
930,6,106,1,3,5,3
1200,9,55,1,3,5,3
930,27,91,1,3,5,3
930,73,42,1,3,5,3
750,3,6,1,4,5,4
750,27,9,1,4,5,4
1200,91,30,1,4,5,4
930,84,55,1,4,5,4
930,3,27,1,5,5,5
1200,91,6,1,5,5,5
750,9,84,1,5,5,5
750,30,42,1,5,5,5
930,55,45,1,5,5,5
1200,45,27,1,6,5,6
1200,55,30,1,6,5,6
930,84,42,1,6,5,6
750,106,73,1,6,5,6
930,73,3,1,7,5,7
1080,6,9,1,7,5,7
1080,106,30,1,7,5,7
750,42,45,1,7,5,7
930,3,91,1,8,5,8
750,73,6,1,8,5,8
1200,45,9,1,8,5,8
1200,27,30,1,8,5,8
930,42,55,1,8,5,8
1200,84,106,1,8,5,8
750,106,3,1,9,5,9
