GTOD,GATG,GHTG,SESI,SEWN,GDAT,SEWT
750,101,61,1,3,5,3
930,64,60,1,3,5,3
1200,79,61,1,4,5,4
750,218,64,1,4,5,4
1080,105,97,1,4,4,4
1080,60,83,1,4,5,4
750,83,64,1,5,5,5
1200,79,101,1,5,5,5
1080,97,218,1,5,5,5
930,105,60,1,5,5,5
1080,64,79,1,6,5,6
1200,61,97,1,6,5,6
750,105,83,1,6,5,6
930,101,218,1,6,5,6
1080,61,60,1,7,4,7
1080,79,105,1,7,5,7
1200,97,101,1,7,5,7
930,218,83,1,7,5,7
1200,64,61,1,8,5,8
930,83,79,1,8,5,8
1080,218,60,1,8,5,8
930,61,218,1,9,5,9
1080,97,64,1,9,5,9
1200,60,79,1,9,5,9
1200,101,105,1,9,5,9
1080,105,64,1,10,3,10
1200,79,218,1,10,5,10
1080,60,97,1,10,5,10
930,101,83,1,10,5,10
1200,83,61,1,11,5,11
930,64,101,1,11,5,11
750,97,79,1,11,5,11
1080,218,105,1,11,5,11
1200,83,97,1,12,5,12
930,60,101,1,12,5,12
930,61,105,1,12,5,12
1080,61,101,0,3,5,3
930,60,64,0,3,5,3
1200,61,79,0,4,5,4
750,64,218,0,4,5,4
1080,97,105,0,4,5,4
1080,83,60,0,4,4,4
750,64,83,0,5,5,5
1200,101,79,0,5,5,5
1080,218,97,0,5,5,5
930,60,105,0,5,5,5
1200,79,64,0,6,5,6
1080,97,61,0,6,5,6
750,83,105,0,6,5,6
930,218,101,0,6,5,6
1080,60,61,0,7,5,7
1080,105,79,0,7,4,7
1200,101,97,0,7,5,7
930,83,218,0,7,5,7
1200,61,64,0,8,5,8
930,79,83,0,8,5,8
1080,60,218,0,8,5,8
930,218,61,0,9,5,9
1080,64,97,0,9,5,9
1200,79,60,0,9,5,9
1080,105,101,0,9,5,9
1080,64,105,0,10,5,10
1200,218,79,0,10,5,10
1080,97,60,0,10,3,10
930,83,101,0,10,5,10
1200,61,83,0,11,5,11
930,101,64,0,11,5,11
750,79,97,0,11,5,11
1080,105,218,0,11,5,11
1200,97,83,0,12,5,12
1080,101,60,0,12,5,12
930,105,61,0,12,5,12
