GTOD,GATG,GHTG,SESI,SEWN,GDAT,SEWT
750,47,21,1,2,5,2
1080,108,47,4,8,3,8
750,63,109,4,8,5,8
930,107,62,4,8,5,8
750,109,62,1,3,5,3
930,13,28,1,3,5,3
930,31,108,1,3,5,3
1080,63,47,1,3,5,3
1200,49,107,1,3,5,3
750,109,47,1,4,5,4
750,21,13,1,4,5,4
930,107,24,1,4,5,4
930,63,62,1,4,5,4
1200,28,49,1,4,5,4
930,31,62,1,5,5,5
750,24,108,1,5,5,5
750,21,109,1,5,5,5
930,47,107,1,5,5,5
1200,13,49,1,5,5,5
1080,49,24,1,6,3,6
750,109,28,1,6,5,6
930,62,21,1,6,5,6
1200,31,63,1,6,5,6
1080,24,31,1,7,3,7
750,13,109,1,7,5,7
750,63,21,1,7,5,7
930,49,47,1,7,5,7
1200,107,28,1,7,5,7
1200,108,62,1,7,5,7
1080,109,63,1,8,3,8
750,28,24,1,8,5,8
930,21,108,1,8,5,8
1080,62,107,1,8,5,8
1200,49,31,1,8,5,8
1080,28,47,1,9,3,9
750,24,109,1,9,5,9
750,63,107,1,9,5,9
930,62,49,1,9,5,9
1080,108,13,1,9,5,9
1200,31,21,1,9,5,9
750,47,31,1,10,5,10
750,24,13,1,10,5,10
930,28,63,1,10,5,10
1200,108,49,1,10,5,10
750,108,109,1,11,5,11
750,13,63,1,11,5,11
930,21,28,1,11,5,11
1200,107,31,1,11,5,11
1080,62,24,1,12,3,12
750,47,13,1,12,5,12
930,107,108,1,12,5,12
750,21,47,2,3,5,3
750,62,109,2,3,5,3
930,28,13,2,3,5,3
930,108,31,2,3,5,3
1080,107,49,2,3,5,3
750,47,109,2,4,5,4
750,13,21,2,4,5,4
930,24,107,2,4,5,4
1200,62,63,2,4,5,4
930,62,31,2,5,5,5
750,109,21,2,5,5,5
930,107,47,2,5,5,5
1080,49,13,2,5,5,5
1200,28,108,2,5,5,5
1080,28,109,2,6,3,6
750,24,49,2,6,5,6
930,13,31,2,6,5,6
750,47,63,2,6,5,6
1200,62,108,2,6,5,6
1080,109,13,2,7,3,7
750,49,28,2,7,5,7
750,31,24,2,7,5,7
930,21,63,2,7,5,7
1200,47,62,2,7,5,7
